,Name,Credit Score,Loan Type,Loan Amount,Loan Term,Interest Rate,EMI,Days Left to Pay Current EMI,Delayed Payment,Payment Dates,Payment Modes,Outstanding Balance
10,Aaina Mani,560,Personal Loan,71414,4,0.21,18641.37,4,Yes,"['2023-5-17', '2023-6-16', '2023-7-23', '2023-8-5']","['Cash', 'Debit Card', 'UPI', 'Credit Card']",-3151.479999999996
11,Saira Dani,771,Home Loan,32375,11,0.3,3402.81,6,Yes,[],[],32375.0
12,Jayant Balan,349,Auto Loan,91869,1,0.12,92787.69,15,No,[],[],91869.0
13,Nehmat Ramakrishnan,396,Auto Loan,67764,2,0.18,34646.24,5,Yes,[],[],67764.0
14,Vaibhav Warrior,786,Auto Loan,89620,9,0.13,10504.91,15,Yes,"['2023-5-10', '2023-6-26', '2023-7-27', '2023-8-27', '2023-9-5', '2023-10-13']","['Net Banking', 'Debit Card', 'Net Banking', 'Cash', 'Cash', 'Cash']",26590.54
15,Vihaan Kashyap,841,Home Loan,65319,9,0.3,8194.72,4,Yes,"['2023-5-20', '2023-6-25', '2023-7-3']","['Debit Card', 'Credit Card', 'Net Banking']",40734.840000000004
16,Ayesha Bal,733,Personal Loan,83004,13,0.13,6879.54,14,Yes,"['2023-5-6', '2023-6-5', '2023-7-16', '2023-8-5', '2023-9-10']","['Net Banking', 'Debit Card', 'Credit Card', 'Cash', 'UPI']",48606.3
17,Alisha Dube,802,Home Loan,98939,4,0.27,26141.56,4,No,"['2023-5-20', '2023-6-28']","['Net Banking', 'UPI']",46655.88
18,Jiya Kadakia,393,Auto Loan,69252,2,0.23,35624.65,4,Yes,"['2023-5-16', '2023-6-13']","['Net Banking', 'Debit Card']",-1997.300000000003
19,Kashvi Gade,664,Personal Loan,74958,9,0.19,9001.83,15,Yes,"['2023-5-7', '2023-6-14']","['Debit Card', 'Net Banking']",56954.34
20,Armaan Varty,618,Home Loan,95820,13,0.13,7941.76,12,Yes,"['2023-5-8', '2023-6-7', '2023-7-14', '2023-8-17', '2023-9-25', '2023-10-7', '2023-11-23', '2023-12-1', '2023-12-4', '2024-1-9']","['Cash', 'Net Banking', 'Debit Card', 'UPI', 'Cash', 'UPI', 'Credit Card', 'Net Banking', 'Credit Card', 'Credit Card']",16402.399999999994
21,Ishaan Manne,310,Personal Loan,60655,11,0.26,6256.51,6,Yes,"['2023-5-17', '2023-6-26', '2023-7-13', '2023-8-14']","['UPI', 'Credit Card', 'Debit Card', 'UPI']",35628.96
22,Jiya Sekhon,780,Home Loan,41351,3,0.18,14199.23,6,No,['2023-5-19'],['UPI'],27151.77
23,Baiju Tella,358,Auto Loan,29711,4,0.23,7787.04,8,No,['2023-5-17'],['UPI'],21923.96
24,Ritvik Devi,369,Auto Loan,36501,5,0.25,7762.73,4,No,[],[],36501.0
25,Kanav Dash,708,Home Loan,63400,8,0.27,8748.22,7,Yes,"['2023-5-27', '2023-6-16', '2023-7-18', '2023-8-23', '2023-9-4']","['Credit Card', 'Net Banking', 'Cash', 'Debit Card', 'UPI']",19658.9
26,Kavya Deol,386,Auto Loan,32188,11,0.17,3180.74,2,Yes,"['2023-5-21', '2023-6-12', '2023-7-13', '2023-8-25', '2023-9-6', '2023-10-14', '2023-11-26', '2023-12-4']","['Cash', 'Debit Card', 'Net Banking', 'Cash', 'Credit Card', 'Credit Card', 'Net Banking', 'UPI']",6742.080000000002
27,Nakul Lad,694,Auto Loan,89426,11,0.28,9311.49,14,No,"['2023-5-19', '2023-6-10', '2023-7-12', '2023-8-25', '2023-9-4', '2023-10-25', '2023-11-1', '2023-12-24', '2024-1-14']","['Debit Card', 'UPI', 'Debit Card', 'Debit Card', 'Cash', 'Net Banking', 'Credit Card', 'Debit Card', 'Debit Card']",5622.5899999999965
28,Akarsh Kapoor,712,Auto Loan,23714,14,0.26,1981.87,12,No,['2023-5-2'],['Net Banking'],21732.13
29,Eshani Balakrishnan,589,Home Loan,35008,13,0.25,3101.82,3,Yes,"['2023-5-22', '2023-6-22', '2023-7-4', '2023-8-8', '2023-9-10', '2023-10-14', '2023-11-26', '2023-12-1', '2023-12-12']","['Cash', 'Net Banking', 'Debit Card', 'UPI', 'Net Banking', 'Debit Card', 'UPI', 'Net Banking', 'Debit Card']",7091.619999999999
30,Oorja Bath,345,Home Loan,40104,13,0.29,3631.67,7,Yes,"['2023-5-18', '2023-6-26', '2023-7-2', '2023-8-10', '2023-9-13', '2023-10-6', '2023-11-10', '2023-12-12']","['UPI', 'Cash', 'Net Banking', 'UPI', 'UPI', 'Debit Card', 'Net Banking', 'Credit Card']",11050.64
31,Yashvi Korpal,807,Personal Loan,87369,1,0.27,89334.8,10,Yes,[],[],87369.0
32,Ira Rajan,377,Home Loan,12410,7,0.24,1917.49,15,Yes,"['2023-5-11', '2023-6-22', '2023-7-4']","['Credit Card', 'Debit Card', 'Debit Card']",6657.53
33,Lakshay Bhargava,687,Auto Loan,61859,14,0.22,5049.93,12,Yes,"['2023-5-20', '2023-6-23', '2023-7-2', '2023-8-21', '2023-9-5', '2023-10-21', '2023-11-28', '2023-12-6', '2024-1-5', '2024-2-12', '2024-3-11', '2024-4-24', '2024-5-13', '2024-6-19']","['Credit Card', 'UPI', 'Debit Card', 'Debit Card', 'UPI', 'Credit Card', 'Debit Card', 'Debit Card', 'Debit Card', 'UPI', 'Cash', 'Net Banking', 'Debit Card', 'Cash']",-8840.020000000004
34,Vidur Iyengar,336,Home Loan,87896,12,0.19,8100.19,10,Yes,"['2023-5-6', '2023-6-7', '2023-7-7']","['Credit Card', 'Debit Card', 'Debit Card']",63595.43
35,Bhavin Choudhry,737,Auto Loan,16517,5,0.19,3461.95,9,Yes,"['2023-5-23', '2023-6-26']","['Net Banking', 'Net Banking']",9593.1
36,Fateh Vasa,478,Home Loan,89219,5,0.2,18745.82,4,Yes,[],[],89219.0
37,Shlok Kamdar,489,Home Loan,61654,11,0.28,6419.73,1,No,[],[],61654.0
38,Faiyaz Mand,754,Home Loan,62408,12,0.14,5603.43,1,No,"['2023-5-17', '2023-6-7', '2023-7-11', '2023-8-25', '2023-9-17', '2023-10-20', '2023-11-16']","['Net Banking', 'Credit Card', 'Cash', 'Net Banking', 'Net Banking', 'Credit Card', 'Credit Card']",23183.989999999998
39,Kabir Brar,783,Personal Loan,40481,2,0.25,20875.19,1,Yes,"['2023-5-8', '2023-6-25']","['Net Banking', 'UPI']",-1269.3799999999974
40,Jivika Bail,622,Personal Loan,39649,4,0.21,10349.67,4,No,[],[],39649.0
41,Ritvik Lad,670,Auto Loan,40226,4,0.13,10330.33,14,No,[],[],40226.0
42,Tara Gaba,568,Auto Loan,13867,3,0.17,4753.91,6,No,[],[],13867.0
43,Saira Divan,329,Auto Loan,63984,10,0.2,6999.46,1,No,"['2023-5-10', '2023-6-14', '2023-7-13', '2023-8-9', '2023-9-23', '2023-10-1', '2023-10-25']","['Net Banking', 'Cash', 'Credit Card', 'Net Banking', 'Credit Card', 'Net Banking', 'UPI']",14987.779999999999
44,Amira Agrawal,455,Auto Loan,95975,10,0.27,10824.8,10,No,"['2023-5-26', '2023-6-21', '2023-7-18', '2023-8-15', '2023-9-23', '2023-10-9', '2023-11-27', '2023-12-24']","['UPI', 'UPI', 'Debit Card', 'Credit Card', 'Net Banking', 'UPI', 'UPI', 'UPI']",9376.600000000006
45,Dhruv Kade,619,Personal Loan,86935,4,0.17,22508.9,3,No,"['2023-5-24', '2023-6-13', '2023-7-3']","['Cash', 'Net Banking', 'Cash']",19408.29999999999
46,Vivaan Dara,531,Personal Loan,96216,4,0.22,25166.49,15,No,"['2023-5-13', '2023-6-1']","['Debit Card', 'Credit Card']",45883.02
47,Emir Bajaj,470,Auto Loan,63518,3,0.1,21526.52,15,Yes,"['2023-5-7', '2023-6-6']","['Debit Card', 'Cash']",20464.96
48,Neelofar Barman,458,Personal Loan,80420,5,0.23,17020.53,11,No,['2023-5-5'],['Debit Card'],63399.47
49,Miraya Rajagopal,491,Auto Loan,43287,14,0.11,3308.7,6,No,['2023-5-20'],['UPI'],39978.3
50,Keya Dixit,752,Auto Loan,27269,13,0.12,2247.37,10,No,"['2023-5-18', '2023-6-27']","['Debit Card', 'Credit Card']",22774.260000000002
51,Veer Dora,462,Personal Loan,92070,10,0.13,9764.45,2,No,"['2023-5-6', '2023-6-28', '2023-7-26', '2023-8-21', '2023-9-20']","['Cash', 'Cash', 'Net Banking', 'Debit Card', 'Cash']",43247.75
52,Armaan Iyer,469,Home Loan,63555,13,0.12,5237.87,13,Yes,"['2023-5-17', '2023-6-20', '2023-7-25', '2023-8-16', '2023-9-26', '2023-10-26', '2023-11-10', '2023-12-28', '2024-1-17', '2024-2-8', '2024-3-25', '2024-4-18', '2024-5-22']","['Net Banking', 'Credit Card', 'UPI', 'Debit Card', 'Credit Card', 'Cash', 'Cash', 'Credit Card', 'Credit Card', 'Cash', 'Net Banking', 'Cash', 'Cash']",-4537.309999999998
53,Anahi Aggarwal,300,Home Loan,41274,4,0.25,10861.46,12,Yes,"['2023-5-23', '2023-6-23', '2023-7-28']","['Credit Card', 'Cash', 'UPI']",8689.620000000003
54,Riaan Handa,808,Home Loan,17686,7,0.23,2723.95,4,No,"['2023-5-1', '2023-5-16', '2023-6-24', '2023-7-3', '2023-8-18']","['Debit Card', 'Net Banking', 'Net Banking', 'Debit Card', 'Debit Card']",4066.25
55,Yakshit Agarwal,382,Personal Loan,87545,7,0.21,13397.06,1,No,[],[],87545.0
56,Tiya Seth,748,Personal Loan,40384,4,0.13,10370.91,9,No,[],[],40384.0
57,Renee Acharya,514,Home Loan,46996,8,0.18,6277.91,5,Yes,"['2023-5-15', '2023-6-4', '2023-7-20', '2023-8-2', '2023-9-15', '2023-10-24']","['Debit Card', 'Cash', 'Cash', 'UPI', 'UPI', 'Net Banking']",9328.54
58,Indranil Jaggi,339,Personal Loan,96146,1,0.3,98549.65,14,Yes,['2023-5-9'],['Cash'],-2403.649999999994
59,Zara Goda,750,Home Loan,78888,4,0.11,20176.02,5,No,"['2023-5-17', '2023-6-5', '2023-7-1', '2023-7-18']","['Debit Card', 'Credit Card', 'UPI', 'UPI']",-1816.0800000000017
60,Hazel Sabharwal,407,Home Loan,33800,7,0.17,5106.04,14,No,"['2023-5-19', '2023-6-20', '2023-7-28']","['Debit Card', 'UPI', 'Credit Card']",18481.88
61,Yakshit Tara,785,Personal Loan,77103,8,0.14,10150.71,3,Yes,"['2023-5-21', '2023-6-12']","['Net Banking', 'Debit Card']",56801.58
62,Nayantara Shah,556,Personal Loan,73807,9,0.17,8792.56,5,Yes,[],[],73807.0
63,Shanaya Khanna,656,Personal Loan,27234,1,0.16,27597.12,6,Yes,['2023-5-8'],['Net Banking'],-363.119999999999
64,Hrishita Varkey,825,Personal Loan,86157,3,0.2,29681.57,9,No,"['2023-5-6', '2023-6-9', '2023-7-21']","['Credit Card', 'Net Banking', 'Credit Card']",-2887.709999999992
65,Yashvi Kuruvilla,839,Home Loan,60354,8,0.14,7945.68,11,Yes,"['2023-5-21', '2023-6-22', '2023-7-17', '2023-8-22', '2023-9-27', '2023-10-14', '2023-11-27']","['Cash', 'Debit Card', 'Cash', 'Credit Card', 'Credit Card', 'Debit Card', 'Credit Card']",4734.239999999998
66,Kaira Borde,553,Home Loan,65951,8,0.28,9132.76,14,Yes,['2023-5-4'],['Debit Card'],56818.24
67,Kismat Chadha,621,Auto Loan,63087,9,0.16,7485.23,10,No,"['2023-5-9', '2023-6-11', '2023-7-3', '2023-8-16', '2023-9-5', '2023-10-10', '2023-11-12', '2023-12-5', '2024-1-13']","['Net Banking', 'Net Banking', 'UPI', 'Credit Card', 'UPI', 'Net Banking', 'Credit Card', 'Cash', 'UPI']",-4280.069999999992
68,Abram Zacharia,591,Personal Loan,63005,12,0.21,5866.63,10,No,[],[],63005.0
69,Hansh Khatri,357,Personal Loan,74225,15,0.11,5318.93,11,No,"['2023-5-7', '2023-6-23', '2023-7-23', '2023-8-14', '2023-9-10', '2023-10-28', '2023-11-24', '2023-12-22', '2024-1-9', '2024-2-24', '2024-3-27']","['UPI', 'Cash', 'Debit Card', 'UPI', 'UPI', 'UPI', 'Cash', 'Cash', 'Net Banking', 'Cash', 'Net Banking']",15716.769999999997
70,Aarna Maharaj,726,Personal Loan,48874,10,0.21,5370.05,9,No,"['2023-5-4', '2023-6-22', '2023-7-16', '2023-8-5', '2023-9-27']","['Net Banking', 'Cash', 'UPI', 'Debit Card', 'Credit Card']",22023.75
71,Zaina Gopal,624,Auto Loan,62312,8,0.28,8628.84,8,No,['2023-5-25'],['Net Banking'],53683.16
72,Vidur Korpal,564,Home Loan,38188,9,0.13,4476.25,3,No,"['2023-5-12', '2023-6-18', '2023-7-28', '2023-8-6', '2023-9-24', '2023-10-5', '2023-11-16']","['Cash', 'Cash', 'UPI', 'Net Banking', 'Net Banking', 'UPI', 'Debit Card']",6854.25
73,Zeeshan Raval,497,Home Loan,50084,2,0.17,25575.39,14,Yes,"['2023-5-25', '2023-6-2']","['UPI', 'UPI']",-1066.7799999999988
74,Trisha Bhavsar,733,Home Loan,16429,5,0.3,3536.29,11,Yes,[],[],16429.0
75,Emir Chad,536,Home Loan,60041,10,0.29,6830.7,11,Yes,"['2023-5-14', '2023-6-1', '2023-7-14', '2023-8-24']","['Net Banking', 'Credit Card', 'UPI', 'UPI']",32718.2
76,Aaryahi Gade,369,Auto Loan,51746,4,0.29,13727.41,12,No,['2023-5-24'],['Net Banking'],38018.59
77,Indrans Issac,750,Home Loan,14479,15,0.26,1140.93,13,No,"['2023-5-22', '2023-6-26', '2023-7-16', '2023-8-23', '2023-9-15', '2023-10-17', '2023-11-2', '2023-12-8', '2024-1-15', '2024-2-19', '2024-3-22', '2024-4-7']","['Net Banking', 'Credit Card', 'UPI', 'Credit Card', 'Net Banking', 'Net Banking', 'Credit Card', 'Net Banking', 'Debit Card', 'Cash', 'Cash', 'Debit Card']",787.8400000000001
78,Sahil Bumb,449,Auto Loan,21807,3,0.21,7524.89,5,No,['2023-5-25'],['Debit Card'],14282.11
79,Hazel Bhagat,443,Home Loan,74665,1,0.19,75847.2,15,No,['2023-5-2'],['Cash'],-1182.199999999997
80,Elakshi Saraf,421,Personal Loan,28748,14,0.12,2210.75,15,No,"['2023-5-25', '2023-6-18', '2023-7-2', '2023-8-4', '2023-9-1', '2023-10-14', '2023-11-2', '2023-12-5', '2024-1-12']","['Credit Card', 'Credit Card', 'Cash', 'Net Banking', 'Net Banking', 'UPI', 'Net Banking', 'Net Banking', 'Net Banking']",8851.25
81,Dishani Thakur,504,Personal Loan,64488,1,0.15,65294.1,7,Yes,['2023-5-6'],['Debit Card'],-806.0999999999985
82,Ela Bahl,384,Auto Loan,34514,9,0.16,4095.06,14,Yes,"['2023-5-7', '2023-6-24', '2023-7-27', '2023-8-6', '2023-9-13', '2023-10-24']","['Credit Card', 'UPI', 'Net Banking', 'Debit Card', 'Cash', 'Debit Card']",9943.64
83,Lakshay Warrior,559,Personal Loan,39864,6,0.16,6957.48,8,Yes,"['2023-5-1', '2023-5-24', '2023-6-8', '2023-7-11', '2023-8-22', '2023-9-10']","['Net Banking', 'Net Banking', 'UPI', 'UPI', 'Debit Card', 'UPI']",-1880.8799999999974
84,Azad Kade,671,Personal Loan,55820,12,0.18,5117.58,12,Yes,"['2023-5-14', '2023-6-20', '2023-7-2', '2023-8-19', '2023-9-7', '2023-10-13']","['Cash', 'Cash', 'Net Banking', 'Debit Card', 'UPI', 'Credit Card']",25114.52
85,Gatik Mammen,522,Auto Loan,91566,11,0.3,9624.13,4,No,"['2023-5-2', '2023-6-21', '2023-7-27', '2023-8-27', '2023-9-11', '2023-10-24', '2023-11-14', '2023-12-28', '2024-1-28', '2024-2-17', '2024-3-21']","['Debit Card', 'Credit Card', 'Credit Card', 'UPI', 'Debit Card', 'Credit Card', 'Cash', 'Cash', 'Net Banking', 'Credit Card', 'Cash']",-14299.429999999993
86,Tejas Lal,735,Personal Loan,95987,6,0.15,16704.98,7,Yes,"['2023-5-21', '2023-6-27', '2023-7-28', '2023-8-5', '2023-9-16', '2023-10-10']","['Debit Card', 'Debit Card', 'Credit Card', 'UPI', 'UPI', 'Debit Card']",-4242.880000000005
87,Vanya Dash,475,Home Loan,97449,6,0.19,17153.33,2,Yes,"['2023-5-25', '2023-6-25']","['Cash', 'UPI']",63142.34
88,Nakul Borde,484,Home Loan,88767,9,0.12,10362.69,1,No,"['2023-5-16', '2023-6-24', '2023-7-24', '2023-8-4', '2023-9-28', '2023-10-26']","['Net Banking', 'Net Banking', 'Net Banking', 'Debit Card', 'UPI', 'Net Banking']",26590.86
89,Tiya Khatri,603,Auto Loan,21933,3,0.17,7519.12,7,No,['2023-5-23'],['Credit Card'],14413.880000000001
90,Purab Kapur,483,Personal Loan,35344,10,0.27,3986.37,6,No,[],[],35344.0
91,Purab Suresh,611,Personal Loan,63864,3,0.25,22181.1,2,No,['2023-5-13'],['Cash'],41682.9
92,Emir Sharaf,631,Home Loan,29878,10,0.12,3154.58,8,Yes,"['2023-5-28', '2023-6-15']","['Cash', 'Cash']",23568.84
93,Aarna Salvi,849,Personal Loan,93634,2,0.12,47520.42,1,No,"['2023-5-18', '2023-6-2']","['Debit Card', 'UPI']",-1406.8399999999965
94,Ishaan Dhar,403,Home Loan,64559,12,0.23,6073.47,3,Yes,"['2023-5-2', '2023-6-4', '2023-7-18', '2023-8-7', '2023-9-9']","['Credit Card', 'Cash', 'UPI', 'Net Banking', 'Cash']",34191.649999999994
95,Heer Walla,485,Auto Loan,29213,12,0.16,2650.52,11,Yes,"['2023-5-21', '2023-6-25', '2023-7-21', '2023-8-26', '2023-9-20']","['Cash', 'Net Banking', 'UPI', 'Cash', 'Cash']",15960.4
96,Taimur Verma,834,Personal Loan,28037,9,0.26,3462.34,3,Yes,"['2023-5-9', '2023-6-1', '2023-7-11', '2023-8-23', '2023-9-8', '2023-10-20', '2023-11-20', '2023-12-27', '2024-1-16']","['UPI', 'Credit Card', 'Net Banking', 'Credit Card', 'Cash', 'Credit Card', 'UPI', 'Credit Card', 'Net Banking']",-3124.0600000000013
97,Rasha Jayaraman,552,Home Loan,33279,5,0.16,6924.38,13,No,['2023-5-5'],['Debit Card'],26354.62
98,Chirag Ramakrishnan,823,Auto Loan,28764,9,0.25,3538.06,10,No,"['2023-5-12', '2023-6-19', '2023-7-17', '2023-8-26']","['Net Banking', 'Debit Card', 'Credit Card', 'Debit Card']",14611.76
99,Jayesh Tella,572,Home Loan,26457,9,0.13,3101.19,11,Yes,"['2023-5-1', '2023-5-21', '2023-6-13']","['Cash', 'Net Banking', 'Net Banking']",17153.43
100,Purab Wadhwa,574,Home Loan,32815,11,0.2,3289.71,15,No,"['2023-5-4', '2023-6-24', '2023-7-27', '2023-8-3', '2023-9-13', '2023-10-24', '2023-11-13', '2023-12-21', '2024-1-6', '2024-2-3', '2024-3-15']","['UPI', 'Debit Card', 'UPI', 'Cash', 'Cash', 'Net Banking', 'Cash', 'Debit Card', 'UPI', 'Cash', 'Cash']",-3371.8099999999977
101,Lakshit Balay,692,Home Loan,44781,7,0.14,6699.29,12,Yes,"['2023-5-22', '2023-6-5', '2023-7-23', '2023-8-14']","['Cash', 'UPI', 'Net Banking', 'Net Banking']",17983.84
102,Tanya Handa,435,Personal Loan,34005,13,0.13,2818.41,1,Yes,"['2023-5-1', '2023-5-26', '2023-6-20', '2023-7-15', '2023-8-1', '2023-8-23', '2023-9-4', '2023-10-8', '2023-11-13', '2023-12-25', '2024-1-21', '2024-2-9', '2024-3-28']","['Net Banking', 'Cash', 'Debit Card', 'Debit Card', 'Cash', 'Net Banking', 'Credit Card', 'Debit Card', 'Cash', 'Net Banking', 'UPI', 'Cash', 'UPI']",-2634.3300000000017
103,Miraan Dora,697,Auto Loan,23262,14,0.21,1887.84,4,Yes,"['2023-5-20', '2023-6-11', '2023-7-16', '2023-8-9', '2023-9-20', '2023-10-22', '2023-11-25', '2023-12-2', '2024-1-6', '2024-2-15', '2024-3-24']","['UPI', 'Debit Card', 'Net Banking', 'Credit Card', 'Net Banking', 'Cash', 'Cash', 'Cash', 'UPI', 'Debit Card', 'Debit Card']",2495.760000000002
104,Hazel Kapadia,603,Auto Loan,54194,10,0.28,6138.93,6,No,"['2023-5-20', '2023-6-1', '2023-7-26', '2023-8-21', '2023-9-12', '2023-10-14', '2023-11-19', '2023-12-16']","['Net Banking', 'UPI', 'Cash', 'Cash', 'Credit Card', 'UPI', 'Net Banking', 'Credit Card']",5082.559999999998
105,Jayant Kota,832,Auto Loan,59199,5,0.2,12438.31,2,Yes,"['2023-5-9', '2023-6-26', '2023-7-8', '2023-8-17']","['Net Banking', 'Credit Card', 'Debit Card', 'Net Banking']",9445.760000000002
106,Manjari Khurana,792,Auto Loan,22778,5,0.23,4820.86,11,No,"['2023-5-16', '2023-6-6', '2023-7-26']","['Cash', 'UPI', 'Cash']",8315.420000000002
107,Hazel Arora,532,Auto Loan,79694,10,0.23,8833.42,14,Yes,"['2023-5-3', '2023-6-18', '2023-7-13']","['Cash', 'UPI', 'Debit Card']",53193.74
108,Shayak Ahuja,312,Home Loan,53293,2,0.25,27482.06,5,No,[],[],53293.0
109,Ivana Zacharia,631,Personal Loan,64067,4,0.26,16893.62,8,No,[],[],64067.0
110,Trisha Andra,709,Home Loan,64626,12,0.17,5894.2,11,No,"['2023-5-5', '2023-6-16', '2023-7-1', '2023-7-21', '2023-8-8', '2023-9-6', '2023-10-4', '2023-11-22', '2023-12-4', '2024-1-16', '2024-2-6']","['Net Banking', 'Credit Card', 'Net Banking', 'Cash', 'Cash', 'Credit Card', 'Credit Card', 'Debit Card', 'UPI', 'Credit Card', 'UPI']",-210.1999999999971
111,Yashvi Kala,786,Personal Loan,21050,11,0.16,2070.11,15,Yes,"['2023-5-26', '2023-6-16', '2023-7-20', '2023-8-24', '2023-9-27', '2023-10-1', '2023-10-12', '2023-11-2']","['Cash', 'Net Banking', 'Cash', 'Credit Card', 'Credit Card', 'Debit Card', 'Net Banking', 'Net Banking']",4489.119999999999
112,Badal Goyal,827,Auto Loan,47325,12,0.19,4361.31,6,Yes,"['2023-5-17', '2023-6-19', '2023-7-5', '2023-8-6', '2023-9-5', '2023-10-9', '2023-11-14', '2023-12-16', '2024-1-21']","['Debit Card', 'Net Banking', 'Credit Card', 'Net Banking', 'Cash', 'UPI', 'Credit Card', 'Net Banking', 'Debit Card']",8073.209999999999
113,Tara Dave,520,Auto Loan,75807,5,0.11,15580.87,15,No,[],[],75807.0
114,Dharmajan Atwal,503,Auto Loan,19402,3,0.16,6640.56,13,No,"['2023-5-19', '2023-6-3', '2023-7-24']","['UPI', 'Debit Card', 'UPI']",-519.6800000000003
115,Hridaan Rout,323,Home Loan,35285,9,0.13,4135.97,6,Yes,"['2023-5-9', '2023-6-25', '2023-7-7', '2023-8-15', '2023-9-21', '2023-10-26', '2023-11-15']","['UPI', 'UPI', 'Cash', 'UPI', 'Debit Card', 'Cash', 'Debit Card']",6333.209999999999
116,Mahika Dewan,674,Home Loan,27486,6,0.14,4769.87,1,No,"['2023-5-28', '2023-6-14', '2023-7-23', '2023-8-21', '2023-9-18', '2023-10-5']","['Net Banking', 'Cash', 'Cash', 'Cash', 'Debit Card', 'Debit Card']",-1133.2200000000012
117,Anika Doshi,796,Personal Loan,87451,14,0.26,7308.63,4,Yes,"['2023-5-18', '2023-6-22', '2023-7-24', '2023-8-12', '2023-9-27', '2023-10-9', '2023-11-7', '2023-12-13', '2024-1-25', '2024-2-14', '2024-3-24', '2024-4-23']","['Net Banking', 'Credit Card', 'UPI', 'Credit Card', 'Cash', 'Cash', 'Net Banking', 'Cash', 'Debit Card', 'Net Banking', 'Credit Card', 'Net Banking']",-252.55999999999767
118,Aradhya Mann,371,Personal Loan,68403,15,0.12,4933.48,14,No,"['2023-5-25', '2023-6-18', '2023-7-11']","['Debit Card', 'UPI', 'Net Banking']",53602.56
119,Pari Loke,428,Personal Loan,33464,1,0.19,33993.85,6,Yes,[],[],33464.0
120,Aradhya Ghosh,817,Auto Loan,64654,11,0.18,6419.74,8,No,"['2023-5-25', '2023-6-10', '2023-7-16', '2023-8-16', '2023-9-4', '2023-10-13', '2023-11-7', '2023-12-2', '2024-1-4']","['Debit Card', 'Debit Card', 'Credit Card', 'Net Banking', 'Cash', 'Credit Card', 'UPI', 'Credit Card', 'Net Banking']",6876.340000000004
121,Rasha Sampath,463,Auto Loan,33601,12,0.29,3259.16,8,Yes,"['2023-5-7', '2023-6-3', '2023-7-3', '2023-8-11', '2023-9-1', '2023-10-9', '2023-11-3', '2023-12-26', '2024-1-19', '2024-2-10', '2024-3-11', '2024-4-25']","['Credit Card', 'Credit Card', 'Debit Card', 'Credit Card', 'Debit Card', 'Credit Card', 'Cash', 'Cash', 'Credit Card', 'Net Banking', 'Net Banking', 'Debit Card']",-5508.919999999998
